USA_Canada,X,Y
0.0000000000,-118.3008333300,33.4841666420
0.0000000000,-118.3000000000,33.4841666420
0.0000000000,-118.2991666700,33.4841666420
0.0000000000,-118.2983333300,33.4841666420
0.0000000000,-118.2975000000,33.4841666420
0.0000000000,-118.2966666700,33.4841666420
0.0000000000,-118.2958333300,33.4841666420
0.0000000000,-118.2950000000,33.4841666420
0.0000000000,-118.2941666700,33.4841666420
0.0000000000,-118.2933333300,33.4841666420
0.0000000000,-118.2925000000,33.4841666420
0.0000000000,-118.2916666700,33.4841666420
0.0000000000,-118.2908333300,33.4841666420
0.0000000000,-118.2900000000,33.4841666420
0.0000000000,-118.2891666700,33.4841666420
0.0000000000,-118.2883333300,33.4841666420
0.0000000000,-118.2875000000,33.4841666420
0.0000000000,-118.2866666700,33.4841666420
0.0000000000,-118.2858333300,33.4841666420
0.0000000000,-118.2850000000,33.4841666420
0.0000000000,-118.2841666700,33.4841666420
0.0000000000,-118.6225000000,33.4799999760
0.0000000000,-118.6216666700,33.4799999760
0.0000000000,-118.6208333300,33.4799999760
0.0000000000,-118.6200000000,33.4799999760
0.0000000000,-118.6191666700,33.4799999760
0.0000000000,-118.6183333300,33.4799999760
0.0000000000,-118.6175000000,33.4799999760
0.0000000000,-118.6166666700,33.4799999760
0.0000000000,-118.6158333300,33.4799999760
0.0000000000,-118.6150000000,33.4799999760
0.0000000000,-118.6141666700,33.4799999760
0.0000000000,-118.6133333300,33.4799999760
0.0000000000,-118.6125000000,33.4799999760
0.0000000000,-118.6116666700,33.4799999760
0.0000000000,-118.6108333300,33.4799999760
0.0000000000,-118.6100000000,33.4799999760
0.0000000000,-118.6091666700,33.4799999760
0.0000000000,-118.6083333300,33.4799999760
0.0000000000,-118.6075000000,33.4799999760
0.0000000000,-118.6066666700,33.4799999760
0.0000000000,-118.6058333300,33.4799999760
0.0000000000,-118.6050000000,33.4799999760
0.0000000000,-118.6041666700,33.4799999760
0.0000000000,-118.6033333300,33.4799999760
0.0000000000,-118.6025000000,33.4799999760
0.0000000000,-118.6016666700,33.4799999760
0.0000000000,-118.6008333300,33.4799999760
0.0000000000,-118.6000000000,33.4799999760
0.0000000000,-118.5991666700,33.4799999760
0.0000000000,-118.5983333300,33.4799999760
0.0000000000,-118.5975000000,33.4799999760
0.0000000000,-118.5966666700,33.4799999760
0.0000000000,-118.5958333300,33.4799999760
0.0000000000,-118.5950000000,33.4799999760
0.0000000000,-118.5941666700,33.4799999760
0.0000000000,-118.5933333300,33.4799999760
0.0000000000,-118.5925000000,33.4799999760
0.0000000000,-118.5916666700,33.4799999760
0.0000000000,-118.5908333300,33.4799999760
0.0000000000,-118.5900000000,33.4799999760
0.0000000000,-118.5891666700,33.4799999760
0.0000000000,-118.5883333300,33.4799999760
0.0000000000,-118.5875000000,33.4799999760
0.0000000000,-118.5866666700,33.4799999760
